nh,param_bound,seed,n_params,popsize,maxiter,fevals,ncores,time_sec,val_nll,auc,bkg_rejection_95,final_valid_fraction,mean_valid_fraction,status
2,1.0,1,27,13,230,2990,8,37.24825119972229,5.075057708823484,0.8880059473913043,0.56458,1.0,0.9812709030100334,ok
2,1.0,2,27,13,230,2990,8,38.58161735534668,5.0711017620716685,0.8890636870652173,0.57041,1.0,0.9976588628762542,ok
2,1.0,3,27,13,230,2990,8,39.82803559303284,5.070527466862704,0.8891162708695652,0.57058,1.0,0.9872909698996656,ok
2,1.0,4,27,13,230,2990,8,37.56635665893555,5.02542466250689,0.8914278875,0.58185,1.0,0.9993311036789297,ok
2,1.0,5,27,13,230,2990,8,38.82248568534851,5.070944946609798,0.8890516790217391,0.5702,1.0,0.996989966555184,ok
2,2.0,1,27,13,230,2990,8,35.93370223045349,5.071124587308634,0.8889685173913043,0.57031,1.0,0.9678929765886287,ok
2,2.0,2,27,13,230,2990,8,36.52330183982849,5.071217189666758,0.8891041680434782,0.57002,1.0,0.991304347826087,ok
2,2.0,3,27,13,230,2990,8,36.64960837364197,5.0723320221049155,0.8889172834782608,0.56992,1.0,0.97123745819398,ok
2,2.0,4,27,13,230,2990,8,34.52945613861084,4.812267241834177,0.8952836558695652,0.56953,1.0,0.979933110367893,ok
2,2.0,5,27,13,230,2990,8,36.49042892456055,5.0750452337261605,0.8881626723913043,0.56881,1.0,0.9785953177257526,ok
2,3.0,1,27,13,230,2990,8,33.92189955711365,4.7706429649036055,0.9035018327173913,0.5705,1.0,0.922742474916388,ok
2,3.0,2,27,13,230,2990,8,34.524362564086914,4.980321813331578,0.8903223172826087,0.57254,1.0,0.9605351170568562,ok
2,3.0,3,27,13,230,2990,8,33.81794214248657,5.0726299006829345,0.8890656059782609,0.57079,1.0,0.9307692307692307,ok
2,3.0,4,27,13,230,2990,8,33.23359560966492,4.685206416855695,0.8990790801086956,0.57577,1.0,0.9464882943143812,ok
2,3.0,5,27,13,230,2990,8,34.41330003738403,5.07251467172501,0.8890008876086956,0.56947,1.0,0.922742474916388,ok
2,5.0,1,27,13,230,2990,8,31.230968475341797,5.105824295222569,0.8863395048913043,0.57316,1.0,0.8772575250836121,ok
2,5.0,2,27,13,230,2990,8,33.514806270599365,4.466046662785394,0.9122130730434783,0.61623,1.0,0.9535117056856188,ok
2,5.0,3,27,13,230,2990,8,32.68073868751526,5.119043104817018,0.8843717863043479,0.54853,1.0,0.9107023411371237,ok
2,5.0,4,27,13,230,2990,8,30.60443663597107,3.9223088976793146,0.932866795,0.75099,1.0,0.8953177257525085,ok
2,5.0,5,27,13,230,2990,8,32.31975293159485,4.887869377219018,0.8953633917391305,0.56784,1.0,0.8923076923076922,ok
2,8.0,1,27,13,230,2990,8,31.360129594802856,5.240351566345042,0.880159855,0.59557,1.0,0.8799331103678931,ok
2,8.0,2,27,13,230,2990,8,32.873321533203125,4.186821882364418,0.918708585326087,0.64966,1.0,0.9250836120401338,ok
2,8.0,3,27,13,230,2990,8,32.72279644012451,5.1169432947347415,0.886893177173913,0.58391,1.0,0.8695652173913043,ok
2,8.0,4,27,13,230,2990,8,31.553370237350464,3.735808576370772,0.9415669318478261,0.82615,1.0,0.8775919732441473,ok
2,8.0,5,27,13,230,2990,8,31.320037364959717,4.540996341141907,0.9040612730434783,0.63326,1.0,0.8735785953177256,ok
3,1.0,1,35,14,214,2996,8,78.69873642921448,5.070988470595918,0.889184405326087,0.57221,1.0,0.9783044058744994,ok
3,1.0,2,35,14,214,2996,8,75.29326891899109,5.069411580942059,0.8890147670652173,0.57095,1.0,0.996328437917223,ok
3,1.0,3,35,14,214,2996,8,80.49928689002991,5.069856127299552,0.8890352713043479,0.57038,1.0,0.9973297730307077,ok
3,1.0,4,35,14,214,2996,8,73.71487593650818,5.071733258398159,0.8891093607608695,0.57022,1.0,0.9803070761014686,ok
3,1.0,5,35,14,214,2996,8,70.67384338378906,5.0681642642900275,0.8884750565217391,0.57103,1.0,0.9936582109479306,ok
3,2.0,1,35,14,214,2996,8,51.37941360473633,5.020394649758828,0.8928767759782609,0.59807,1.0,0.863150867823765,ok
