nh,param_bound,run,val_nll,auc,time_sec,status
3,5,2,4.3735,0.9138,83.3,ok
3,5,3,4.241,0.9268,83.8,ok
3,5,4,4.937,0.8933,85.6,ok
3,5,5,4.1944,0.9148,83.4,ok
3,6,1,4.8039,0.9126,86.3,ok
3,6,2,4.0344,0.9292,76.6,ok
3,6,3,4.0817,0.9091,81.9,ok
3,6,4,3.5901,0.9417,83.6,ok
3,6,5,4.3201,0.9152,87.5,ok
3,7,1,4.9668,0.9047,130.6,ok
3,7,2,4.0194,0.9311,86.5,ok
3,7,3,4.8305,0.8851,87.8,ok
3,7,4,5.2174,0.8856,82.6,ok
3,7,5,4.3456,0.9187,83.3,ok
3,8,1,4.6434,0.8992,115.6,ok
3,8,2,3.9827,0.9271,107.6,ok
3,8,3,4.1569,0.9285,241.1,ok
3,8,4,4.0634,0.9285,95.2,ok
3,8,5,4.587,0.924,84.6,ok
3,9,1,4.8351,0.9039,91.5,ok
3,9,2,4.3597,0.9114,83.8,ok
3,9,3,3.2861,0.951,114.6,ok
3,9,4,3.6979,0.9349,90.5,ok
3,9,5,3.7281,0.9375,86.6,ok
3,10,1,1000000000.0,0.5,37.3,ok
3,10,2,6.278,0.8433,228.7,ok
3,10,3,4.909,0.8821,166.9,ok
3,10,4,4.3957,0.9228,89.2,ok
3,10,5,4.3851,0.8874,84.5,ok
4,1,1,5.0335,0.8984,408.2,ok
4,1,2,5.0244,0.8998,399.7,ok
4,1,3,5.0377,0.8994,398.5,ok
4,1,4,4.9616,0.9063,263.2,ok
4,1,5,5.0413,0.8987,435.3,ok
4,2,1,1000000000.0,0.5,50.9,ok
4,2,2,4.5275,0.9153,179.9,ok
4,2,3,4.7393,0.9085,146.7,ok
4,2,4,4.7363,0.9054,311.7,ok
4,2,5,4.7801,0.9063,162.8,ok
4,3,1,4.3962,0.922,136.5,ok
4,3,2,4.199,0.9218,133.1,ok
4,3,3,4.6852,0.906,150.9,ok
4,3,4,4.5175,0.9161,165.3,ok
4,3,5,4.4953,0.908,507.9,ok
4,4,1,4.7303,0.9176,186.9,ok
4,4,2,1000000000.0,0.5,40.3,ok
4,4,3,4.2538,0.93,144.6,ok
4,4,4,4.4437,0.919,149.4,ok
4,4,5,4.6548,0.9111,541.4,ok
4,5,1,4.2111,0.9126,150.2,ok
4,5,2,4.3587,0.9137,168.6,ok
4,5,3,4.5185,0.9185,145.8,ok
4,5,4,4.9693,0.8943,147.4,ok
4,5,5,4.3209,0.906,118.0,ok
4,6,1,4.9255,0.894,163.5,ok
4,6,2,4.5564,0.9226,121.7,ok
4,6,3,4.4066,0.9206,123.3,ok
4,6,4,1000000000.0,0.5,45.3,ok
1,11,1,5.14,0.885,57.4,ok
1,11,2,5.0969,0.9028,55.2,ok
1,11,3,5.1555,0.8888,56.7,ok
1,11,4,4.5501,0.9119,52.7,ok
1,11,5,5.0578,0.897,55.2,ok
1,12,1,4.2047,0.9174,55.3,ok
1,12,2,5.1032,0.8966,56.8,ok
1,12,3,5.1153,0.8904,54.5,ok
